video_slug,timestamp_sec,frame_index,p_yawn,yawn_event,recent_yawn_event,mouth_signal_status,mouth_source,notes
A_normal_open_baseline,0.0,0,0.05,False,False,ok,manual_video_review_annotation,no manually confirmed yawn interval for this video
A_normal_open_baseline,0.166715,5,0.05,False,False,ok,manual_video_review_annotation,no manually confirmed yawn interval for this video
A_normal_open_baseline,0.333429,10,0.05,False,False,ok,manual_video_review_annotation,no manually confirmed yawn interval for this video
A_normal_open_baseline,0.500144,15,0.05,False,False,ok,manual_video_review_annotation,no manually confirmed yawn interval for this video
A_normal_open_baseline,0.666859,20,0.05,False,False,ok,manual_video_review_annotation,no manually confirmed yawn interval for this video
A_normal_open_baseline,0.833573,25,0.05,False,False,ok,manual_video_review_annotation,no manually confirmed yawn interval for this video
A_normal_open_baseline,1.000288,30,0.05,False,False,ok,manual_video_review_annotation,no manually confirmed yawn interval for this video
A_normal_open_baseline,1.167003,35,0.05,False,False,ok,manual_video_review_annotation,no manually confirmed yawn interval for this video
A_normal_open_baseline,1.333718,40,0.05,False,False,ok,manual_video_review_annotation,no manually confirmed yawn interval for this video
A_normal_open_baseline,1.500432,45,0.05,False,False,ok,manual_video_review_annotation,no manually confirmed yawn interval for this video
A_normal_open_baseline,1.667147,50,0.05,False,False,ok,manual_video_review_annotation,no manually confirmed yawn interval for this video
A_normal_open_baseline,1.833862,55,0.05,False,False,ok,manual_video_review_annotation,no manually confirmed yawn interval for this video
A_normal_open_baseline,2.000576,60,0.05,False,False,ok,manual_video_review_annotation,no manually confirmed yawn interval for this video
A_normal_open_baseline,2.167291,65,0.05,False,False,ok,manual_video_review_annotation,no manually confirmed yawn interval for this video
A_normal_open_baseline,2.334006,70,0.05,False,False,ok,manual_video_review_annotation,no manually confirmed yawn interval for this video
A_normal_open_baseline,2.50072,75,0.05,False,False,ok,manual_video_review_annotation,no manually confirmed yawn interval for this video
A_normal_open_baseline,2.667435,80,0.05,False,False,ok,manual_video_review_annotation,no manually confirmed yawn interval for this video
A_normal_open_baseline,2.83415,85,0.05,False,False,ok,manual_video_review_annotation,no manually confirmed yawn interval for this video
A_normal_open_baseline,3.000865,90,0.05,False,False,ok,manual_video_review_annotation,no manually confirmed yawn interval for this video
A_normal_open_baseline,3.167579,95,0.05,False,False,ok,manual_video_review_annotation,no manually confirmed yawn interval for this video
A_normal_open_baseline,3.334294,100,0.05,False,False,ok,manual_video_review_annotation,no manually confirmed yawn interval for this video
A_normal_open_baseline,3.501009,105,0.05,False,False,ok,manual_video_review_annotation,no manually confirmed yawn interval for this video
